WHO_Name,WHO_Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,94963847,12165.00996744024,4555819,496206,2050857,262.7178303633233,94763,12933,
United States of America,Americas,23884299,72157.43,1455708,142240,396155,1196.83,22826,1567,Community transmission
India,South-East Asia,10595660,7677.99,100513,13823,152718,110.66,1189,162,Clusters of cases
Brazil,Americas,8511770,40044.19,380158,23671,210299,989.37,6719,452,Community transmission
Russian Federation,Europe,3633952,24901.26,162899,21152,67220,460.62,3850,597,Clusters of cases
The United Kingdom,Europe,3466853,51068.74,302798,33355,91470,1347.41,8267,1610,Community transmission
France,Europe,2890012,44275.42,129753,23347,70951,1086.98,2532,656,Community transmission
Italy,Europe,2400598,39704.36,97335,10496,83157,1375.36,3338,603,Clusters of cases
Spain,Europe,2370742,50705.88,180561,15578,54173,1158.66,952,68,Community transmission
Germany,Europe,2068002,24682.56,114576,15974,48770,582.09,6133,1148,Community transmission
Colombia,Americas,1923132,37795.26,121229,14719,49004,963.07,2553,373,Community transmission
Argentina,Americas,1807428,39991.08,76507,8185,45832,1014.08,1178,425,Community transmission
Mexico,Americas,1649502,12793.51,107869,8074,141248,1095.52,6880,544,Community transmission
Turkey,Europe,1585443,18798.44,53496,6818,24328,288.45,1176,167,Community transmission
Poland,Europe,1450747,38332.28,45842,6943,34141,902.09,2067,443,Community transmission
South Africa,Africa,1356716,22875.5,96968,9780,38288,645.57,3954,839,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1342134,15979.13,43112,5917,56973,678.31,613,87,Community transmission
Ukraine,Europe,1172038,26799.39,41199,4383,21258,486.08,1044,212,Community transmission
Peru,Americas,1068802,32415.59,31452,3893,38931,1180.73,596,60,Community transmission
Indonesia,South-East Asia,927380,3390.49,80615,10365,26590,97.21,1945,308,Community transmission
Netherlands,Europe,921580,53783.89,38776,4335,13162,768.14,608,106,Community transmission
Czechia,Europe,909131,84894.26,53531,9628,14820,1383.89,1164,174,Community transmission
Canada,Americas,715072,18946.24,46891,6453,18120,480.1,1034,106,Community transmission
Romania,Europe,697898,36277.64,20930,2745,17369,902.86,488,98,Community transmission
Belgium,Europe,681250,58781.03,9309,1,20554,1773.48,294,14,Community transmission
Chile,Americas,677151,35422.89,28016,3401,17573,919.27,391,26,Community transmission
Iraq,Eastern Mediterranean,609852,15161.96,5303,823,12962,322.26,51,9,Community transmission
Portugal,Europe,566958,55602.06,70406,10455,9246,906.76,1166,218,Clusters of cases
Israel,Europe,550465,63596.88,47187,0,4031,465.71,284,0,Community transmission
Sweden,Europe,533265,52802.36,26444,2113,10591,1048.69,106,2,Community transmission
Bangladesh,South-East Asia,529031,3212.3,5011,702,7942,48.22,123,20,Community transmission
Pakistan,Eastern Mediterranean,523011,2367.72,16310,1800,11055,50.05,338,58,Community transmission
Philippines,Western Pacific,504084,4600.1,12826,1348,9978,91.06,424,69,Community transmission
Switzerland,Europe,499721,57740.36,14791,2249,8122,938.46,369,75,Community transmission
Morocco,Eastern Mediterranean,461390,12500.22,7601,1246,8011,217.04,227,34,Clusters of cases
Austria,Europe,393444,43684.94,10681,1463,7127,791.33,345,58,Community transmission
Serbia,Europe,375799,53964.92,11875,1688,3791,544.39,152,20,Community transmission
Saudi Arabia,Eastern Mediterranean,365325,10493.66,1229,226,6335,181.97,35,6,Sporadic cases
Hungary,Europe,354252,36670.72,8542,976,11615,1202.34,667,95,Community transmission
Japan,Western Pacific,339774,2686.46,42459,5446,4647,36.74,502,99,Clusters of cases
Jordan,Eastern Mediterranean,316427,31012.73,6581,883,4170,408.7,94,17,Community transmission
Panama,Americas,299361,69380.57,18008,1342,4828,1118.95,328,41,Community transmission
Nepal,South-East Asia,267992,9197.71,2294,348,1969,67.58,37,4,Clusters of cases
Lebanon,Eastern Mediterranean,260315,38138.91,33367,4359,2020,295.95,315,61,Community transmission
United Arab Emirates,Eastern Mediterranean,260223,26310.66,23998,3491,756,76.44,39,5,Community transmission
Georgia,Europe,249934,62653.18,6679,469,2987,748.78,141,14,Community transmission
Ecuador,Americas,232568,13181.84,10001,924,14382,815.16,186,60,Community transmission
Slovakia,Europe,228778,41903.48,13723,2484,3737,684.48,574,100,Clusters of cases
Belarus,Europe,228716,24204.49,12992,1356,1601,169.43,66,10,Community transmission
Azerbaijan,Europe,227696,22457.05,2350,305,3032,299.04,91,10,Clusters of cases
Croatia,Europe,226550,55185.2,4433,902,4711,1147.55,239,27,Community transmission
Kazakhstan,Europe,218216,11621.63,6315,0,2956,157.43,71,0,Clusters of cases
Bulgaria,Europe,212927,30643.83,3046,544,8614,1239.7,335,49,Clusters of cases
Dominican Republic,Americas,196591,18122.48,11803,1625,2461,226.86,34,13,Community transmission
Denmark,Europe,190619,32909.59,6818,724,1837,317.15,214,32,Community transmission
Bolivia (Plurinational State of),Americas,188733,16168.31,13445,1550,9680,829.26,265,44,Community transmission
Costa Rica,Americas,186016,36515.84,5955,363,2458,482.52,105,9,Community transmission
Tunisia,Eastern Mediterranean,184483,15609.52,19547,2598,5844,494.47,501,94,Community transmission
Ireland,Europe,176839,35813.42,21248,1996,2708,548.42,311,92,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,172399,33794.36,4725,660,1908,374.01,124,19,Community transmission
Lithuania,Europe,172060,63204.16,9018,3352,2514,923.49,197,20,Community transmission
Malaysia,Western Pacific,165371,5109.41,23838,3631,619,19.13,60,14,Clusters of cases
Armenia,Europe,165221,55756.82,2093,309,3016,1017.8,65,9,Community transmission
Kuwait,Eastern Mediterranean,158822,37189.87,3487,578,950,222.45,4,2,Community transmission
Egypt,Eastern Mediterranean,158174,1545.66,6451,899,8696,84.98,392,58,Clusters of cases
Republic of Moldova,Europe,153506,38053.4,3368,394,3282,813.59,106,15,Community transmission
Slovenia,Europe,151137,72699.14,9550,1703,3393,1632.08,222,22,Clusters of cases
Guatemala,Americas,150277,8388.07,5273,1131,5313,296.56,196,35,Community transmission
Greece,Europe,149462,14339.56,3442,537,5518,529.4,189,30,Community transmission
Qatar,Eastern Mediterranean,147729,51276.04,1450,225,248,86.08,2,0,Community transmission
Myanmar,South-East Asia,135243,2485.64,3506,448,2986,54.88,108,13,Clusters of cases
Honduras,Americas,134938,13623.76,6237,827,3368,340.04,83,14,Community transmission
Oman,Eastern Mediterranean,132146,25877.36,1202,135,1516,296.87,8,2,Community transmission
Ethiopia,Africa,131727,1145.81,2735,181,2037,17.72,33,4,Community transmission
Paraguay,Americas,122588,17187.15,6053,428,2518,353.03,98,13,Community transmission
Venezuela (Bolivarian Republic of),Americas,120444,4235.63,3461,641,1112,39.11,39,6,Community transmission
Bosnia and Herzegovina,Europe,118383,36083.37,2183,300,4509,1374.35,136,23,Community transmission
Nigeria,Africa,113305,549.65,10704,1301,1464,7.1,91,15,Community transmission
Libya,Eastern Mediterranean,110465,16076.31,4435,596,1700,247.41,78,2,Community transmission
Algeria,Africa,104341,2379.44,1700,249,2848,64.95,32,3,Community transmission
Kenya,Africa,99308,1846.86,876,81,1734,32.25,18,0,Community transmission
China,Western Pacific,99191,67.42,1258,165,4807,3.27,6,2,Clusters of cases
Bahrain,Eastern Mediterranean,98260,57746.5,2065,320,362,212.74,6,2,Clusters of cases
North Macedonia,Europe,89392,42907.2,2275,400,2726,1308.45,79,11,Community transmission
Puerto Rico,Americas,88373,30890.44,3946,434,1703,595.28,58,0,Community transmission
Kyrgyzstan,Europe,83430,12787.78,843,162,1392,213.36,17,2,Clusters of cases
Uzbekistan,Europe,78163,2335.37,447,72,620,18.52,2,0,Clusters of cases
Republic of Korea,Western Pacific,73518,1433.96,3315,404,1300,25.36,115,17,Clusters of cases
Albania,Europe,68568,23826.56,3941,586,1287,447.22,35,6,Clusters of cases
Singapore,Western Pacific,59157,10111.72,211,30,29,4.96,0,0,Sporadic cases
Norway,Europe,59033,10889.2,2419,382,525,96.84,16,4,Community transmission
Ghana,Africa,58431,1880.45,2010,366,358,11.52,20,6,Community transmission
Latvia,Europe,56720,30071.07,5943,812,1012,536.53,130,29,Community transmission
Kosovo[1],Europe,56372,30301.32,2154,297,1410,757.91,33,9,Community transmission
Montenegro,Europe,56274,89598.86,2044,0,749,1192.55,12,0,Clusters of cases
Sri Lanka,South-East Asia,54419,2541.37,4882,669,273,12.75,29,3,Clusters of cases
Afghanistan,Eastern Mediterranean,54278,1394.31,588,137,2354,60.47,46,8,Clusters of cases
El Salvador,Americas,51437,7930.21,2532,0,1509,232.65,72,11,Community transmission
Luxembourg,Europe,48966,78223.2,791,85,560,894.6,22,3,Community transmission
Finland,Europe,40722,7349.59,1711,217,633,114.25,31,12,Community transmission
Zambia,Africa,39515,2149.43,9758,1308,578,31.44,83,19,Community transmission
Estonia,Europe,38544,29056.15,3553,603,349,263.09,57,5,Clusters of cases
Uganda,Africa,38534,842.44,586,449,305,6.67,2,1,Community transmission
Uruguay,Americas,32863,9460.44,5962,485,319,91.83,57,8,Community transmission
Namibia,Africa,30995,12198.41,2124,242,296,116.49,32,3,Community transmission
Cyprus,Europe,29294,24262.87,1397,164,176,145.77,19,1,Clusters of cases
Australia,Western Pacific,28730,1126.67,96,9,909,35.65,0,0,Clusters of cases
Zimbabwe,Africa,28675,1929.3,5436,783,825,55.51,274,52,Community transmission
Mozambique,Africa,28270,904.48,5274,824,253,8.09,52,4,Community transmission
Cameroon,Africa,28010,1055.15,674,0,455,17.14,4,0,Community transmission
Sudan,Eastern Mediterranean,27494,627.01,0,0,1657,37.79,0,0,Community transmission
Côte d’Ivoire,Africa,25383,962.27,1489,78,142,5.38,3,0,Community transmission
Senegal,Africa,23392,1397.04,1707,168,536,32.01,56,10,Community transmission
Democratic Republic of the Congo,Africa,21139,236.03,1705,232,640,7.15,30,10,Community transmission
Angola,Africa,19011,578.43,668,85,442,13.45,20,3,Community transmission
Cuba,Americas,18773,1657.42,3279,330,175,15.45,20,2,Clusters of cases
Botswana,Africa,18630,7922.17,2579,0,88,37.42,40,0,Community transmission
Madagascar,Africa,18301,660.9,300,0,273,9.86,6,0,Community transmission
French Polynesia,Western Pacific,17697,62999.27,294,0,127,452.11,3,0,Sporadic cases
Malta,Europe,16129,36528.72,1171,187,244,552.61,10,2,Clusters of cases
Mauritania,Africa,16039,3449.5,428,0,402,86.46,15,0,Community transmission
French Guiana,Americas,15187,50846.72,817,132,76,254.45,2,0,Community transmission
Maldives,South-East Asia,14633,27070.88,415,51,49,90.65,0,0,Clusters of cases
Jamaica,Americas,14419,4869.36,659,145,329,111.1,14,3,Community transmission
Guinea,Africa,14172,1079.13,183,7,81,6.17,0,0,Community transmission
Malawi,Africa,13880,725.56,4480,853,336,17.56,82,15,Community transmission
Tajikistan,Europe,13714,1437.88,4,0,91,9.54,0,0,Pending
Eswatini,Africa,13443,11587.15,1524,256,403,347.36,84,19,Community transmission
Syrian Arab Republic,Eastern Mediterranean,13224,755.63,666,92,850,48.57,60,9,Community transmission
Cabo Verde,Africa,13139,23631.85,633,93,120,215.83,5,0,Community transmission
Thailand,South-East Asia,12653,181.28,1662,59,71,1.02,4,1,Clusters of cases
Belize,Americas,11592,29152.88,260,12,282,709.21,7,1,Community transmission
Rwanda,Africa,11548,891.58,1598,289,148,11.43,23,2,Community transmission
Haiti,Americas,10907,956.54,521,55,240,21.05,2,0,Community transmission
Gabon,Africa,10019,4501.44,279,0,66,29.65,0,0,Community transmission
Réunion,Africa,9552,10668.91,193,0,45,50.26,3,0,Clusters of cases
Burkina Faso,Africa,9352,447.39,889,0,105,5.02,13,0,Community transmission
Andorra,Europe,9194,118993.08,449,111,92,1190.71,5,1,Community transmission
Guadeloupe,Americas,8948,22363.07,114,0,156,389.88,0,0,Community transmission
Bahamas,Americas,8068,20516.52,64,1,175,445.02,0,0,Clusters of cases
Mali,Africa,7880,389.12,193,25,317,15.65,14,6,Community transmission
Congo,Africa,7709,1397.04,549,0,114,20.66,2,0,Community transmission
Suriname,Americas,7624,12996.22,560,97,145,247.17,7,4,Clusters of cases
Trinidad and Tobago,Americas,7399,5286.93,126,6,132,94.32,4,0,Community transmission
Guam,Western Pacific,7309,43306.18,70,22,128,758.41,4,0,Clusters of cases
